Title,Length/genre,Rating,metascore,story,genre,director,star
 Dudes and a Dog: 2013 New Year's Eve Extravaganza Podcast (2013),None,None,None,Add a Plot,Talk-Show, Joseph Graziani ," David Andreiw, Caitlin Costello, Leah Dwyer, William Geheren"
 Roberto Bodegas (2012),None,None,None,Add a Plot,Talk-Show," Roberto Bodegas, Luis Alberto Cabezón",None
 Implantes Alienígenas: Palestra com Marco Antônio Petit (2018),101 min,None,None,Add a Plot, Talk-Show," Budd Hopkins, Roger Leir, John E. Mack, Marco Antônio Petit",None
 Mais Ar à Esquerda (2017),102 min,None,None,"The most meta-crazy talk show on the cyberweb. We invite you to embark on our irreverent, insightful and hilarious program: a combination of NOVA FCSH's most varied talents, heads and arms."," Comedy, Drama, Musical"," Carmen Alcobio, Tiago Antunes, Mariana Branco, Joana Calado, Ana Rita Durão, Rafael Fonseca, Mariana Godet, Dani Gonçalves, Pedro Granacha, Inês Filipa Martins, Sara Moura, Patrícia Nunes, André Nóbrega, Mafalda Perez, Pedro Quirino, Ana Santos, Paulo Xavier "," Mariana Amorim, Rita Antunes, Tiago Antunes, Jorge Barata"
 Penelope's World: A Talk Show About Stuffs (2013),None,None,None,Add a Plot,Talk-Show, Ryan Hellquist ," Zack Finfrock, Kenzo Lee, Lexi Marman, Matt Munson"
 Monsordecor (2019),None,None,None,"Interior designer and entrepreneur, Sory Ferreras, better known as Monsordecor, gives us advice on how you can design or renovate your home to make it look elegant and luxurious without spending a lot of money.","Family, Talk-Show", Monsordecor,None
 Otho Jago Nijeke Niye Vabo (2022),None,None,None,Add a Plot,Talk-Show, Narugopal Mandal , Narugopal Mandal
 The Shootin' It Christmas Spectacular (2013),None,None,None,"Jayme and Kenney celebrate Christmas by becoming extremely inebriated, interviewing Santa Claus, discussing recent racial controversies regarding the ethnicity of Santa Claus, and give their 'Naughty & Nice' lists for the year.",Talk-Show, Amy Fox ," Jay Karales, Kenney Dorcely, Gary 'Gearbear' Miller"
 Portræt af: Jimmi Holm Andersen (2022),60 min,None,None,Add a Plot, Talk-Show, Christina Britten ," Jimmi Andersen, Christina Britten"
 The Great Sherlock Holmes Debate 3 (2012),120 min,None,None,The 3rd Great debate saw experts of the Sherlock Holmes world get together to present and debate on the Greatest Sherlock Holmes story ever written., Talk-Show," Steve Emecz, Ross K. Foad "," Steve Emecz, Matthew J. Elliott, Fiona-Jane Brown, Bonnie MacBird"
 MUFON-LA presents George Knapp (1998),110 min,None,None,Add a Plot, Talk-Show," Philip J. Corso, George Knapp, Bob Lazar, Yulii Platov",None
 YouTube Channel for Evan Roy Dexter (2015),None,None,None,Add a Plot,Talk-Show,None,None
 Celebration of Music (2017),None,None,None,"Celebration of Music is a talent search that showcases the best young musical talent across the Globe. Singers, musicians, bands, and dancers between the ages of 5 and 25 are all encouraged... See full summary »","Family, Music, Reality-TV"," Ethan Bortnick, McKenzi Brooke, Montana Jacobowitz, Preston C. Howell",None
 UR Unique (2014),None,None,None,UR Unique is a lifestyle series that chronicles the life of Unique Jenkins.,"Reality-TV, Talk-Show", Tiauna Jackson , Unique Jenkins
 Evil Undoings (2015),None,None,None,Add a Plot,"Comedy, Talk-Show", Emily Kathleen , Emily Kathleen
 Recall (2011),None,None,None,Add a Plot,Talk-Show, Rachel Wilson ," Taber Cheo, Brittany Federici, Kenneth Hellmer, Dakota Johns"
 The Right Push Pre-Release First Virtual Listening Party the Rewind (2022),None,None,None,"This live virtual event is an advance listening party for the single 'The Right Push', By Kenneth 'The Phenomenal Hawk' Massey before it is available for streaming and download April 15th ... See full summary »",Talk-Show, Kenneth 'The Phenomenal Hawk' Massey ," Huey G, Kenneth 'The Phenomenal Hawk' Massey, Lynette Miller, MVP of Memphis"
 The Think and Grow Wealth Show (2019),None,None,None,Frank Verni and Jon Robert Quinn sit down with conversation about real estate and investing.,Talk-Show, Jon Robert Quinn ," Jon Robert Quinn, Frank Verni"
 The Peter Show (1997),46 min,None,None,A talk show for children and teens.," Family, Talk-Show", Karen Leigh ," Jonathon Haderlein, Peter Haderlein, John Wagner"
 Writing for Animation (2016),None,None,None,Add a Plot,Talk-Show, Bernie Rao ," Rob Hoegee, Grant Moran"
 Post Debate Special (2018),60 min,None,None,Add a Plot," News, Talk-Show"," Keith Baldrey, Chris Gailus, Mary Polak, Lynda Steele",None
 A SETI Talk with Nathalie Cabrol (2010),71 min,None,None,Add a Plot, Talk-Show," Nathalie Cabrol, James W. Head",None
 Jerry Trimble Jr. Presentation (2018),None,None,None,Add a Plot,Talk-Show, Amy Dinh , Jerry Trimble
 Matt and Tim at the Movies (2011),None,None,None,Matt and Tim love movies. MOST movies. But that's not what this show is about. Matt and Tim watch terrible public domain movies and provide their own colorful commentary over it.,"Comedy, Talk-Show", Matt Gagliardi ," Matt Gagliardi, Tim McGullam"
 O'Brien's Extremely Pale Ale (2013),165 min,None,None,Add a Plot, Talk-Show, Conan O'Brien,None
 Ramadan Hawadet Radio Show (2019),None,None,None,"A talk show broadcast live during the month of Ramadan and met in its episodes with the artist Hanan Suleiman, the artist Mirna Walid and the director Mohamed Fadel. Radio presenter Nora El-Sayed",Talk-Show, Sayed Abdel Aziz ," Mohamed Fadel, Hanan Sulieman, Mirna Walid"
 Why Not Tonight (2017),45 min,None,None,"The series is a popular night time TV shows using skits about current events, comedy, and celebrity guests, such as The Tonight Show, Late Night, The Late Show, The Late Late Show, etc. typically featuring a musical act, etc.", Completed, Steven Seidman , Talon Trent
 Slavoj Zizek - Disorder Under Heaven (2019),None,None,None,Add a Plot,Talk-Show, Slavoj Zizek,None
 #sayhername - Justice for Brianna Taylor (2020),None,None,None,Add a Plot,Talk-Show, Lance Fresh ," Brittney Cooper, Brittany Packnett Cunningham, Alicia Garza, Tyki Irving"
 Siren - Out of Water,None,None,None,Add a Plot, Announced,None,None
 Psychic Smarts (2006),88 min,None,None,A program that implies it will help you make money if you purchase their secrets to unlock the untapped potential of your brain, Talk-Show, David Rocco Facchini,None
 I tried building a custom mechanical keyboard from scratch (2021),15 min,None,None,I built a $400 custom keyboard that I bought on stream., Talk-Show, Chance Morris,None
 How to Make Time Visible in Film (Without Photography) (2010),None,None,None,"Avant-garde filmmaker Takahiko Iimura is exploring how participants can make time visible in film, (without photography), using markers of different colors and sizes, long and fat needles, clear and black 16mm film.",Talk-Show, Takahiko Iimura,None
 UFOs: Visitors from Inner Space (2015),None,None,None,Add a Plot,Talk-Show," David J. Halperin, Michael Joy",None
 The Indie Connection with C.L. Cannon (2018),None,None,None,"Every week, USA Today Bestselling Author C.L. Cannon features 3-5 independently published books which are similar to a traditionally published title.",Talk-Show, C.L. Cannon,None
 Dan-A-Plooza (2022),None,None,None,Add a Plot,Talk-Show, Dan Hawkins ," Dan Hawkins, Michael Ochotorena"
 Interview with Dr. Mark Rodeghier (2018),58 min,None,None,Add a Plot, Talk-Show, Darryl Barker ," Darryl Barker, Mark Rodeghier"
 What's So Damn Funny! (2015),None,None,None,Add a Plot,Talk-Show," Mandell Frazier, Cherilyn Lee, Yvette Obifule, Bonnie Pointer",None
 The Nashville Sound (2014),137 min,None,None,"A segment of the Nashville Public Library's ""The Nashville Sound"" series, this June 22, 2014 re-enactment of TNN's erstwhile Nashville Now program, hosted by Ralph Emery, featuring ... See full summary »", Talk-Show," Ralph Emery, Stacy Harris, Con Hunley, Lorrie Morgan",None
 Comic-Con Film School (2020),46 min,None,None,Panelists discuss the nuts and bolts of independent film making as part of Comic-Con at Home 2020., Talk-Show, Sean Rourke ," Jack Conway, Nick Murphy, Valerie Perez, Josh Perilo"
 The eZWay Awards 2020 (2020),120 min,None,None,Add a Plot, Talk-Show," Samuel Morris, Eric Zuley "," 2 Live Crew, Manuj Aggarwal, Gilbert Dean Arcillas, Stephanie Ardrey"
 Wann wird es endlich wieder Sommer (1975),None,None,None,Add a Plot,"Comedy, Talk-Show", Harald Vock , Gunther Philipp
 Loren Michaels Harris Bathrobe Moments (2020),120 min,None,None,Add a Plot, Talk-Show," Tony Boldi, Loren Michaels Harris",None
 Interview JSQM chairman Bashir Ahmed Qureshi (2011),None,None,None,Exclusive interview of JSQM chairman Bashir Ahmed Qureshi from Mokhi Media. Interviewed by Sindhi Zafar in Moro (22nd February 2011),Talk-Show," Bashir Ahmed Qureshi, Sindhi Zafar",None
 The Great Sherlock Holmes Debate 4 (2013),120 min,None,None,Holmes experts around the world got together to present and debate on what the current productions of the Holmes name contributed to the Legacy of Sherlock Holmes., Talk-Show," Steve Emecz, Ross K. Foad "," Bonnie MacBird, Charlotte Anne Walters, Phil Growick, Steve Emecz"
 The Curse of Freedom! Freedomain Call In (2018),88 min,None,None,Add a Plot," News, Talk-Show", Stefan Molyneux,None
 Collapse of China Explained by Chinese American Lawyer (2020),87 min,None,None,The Collapse of China Explained By Chinese American Lawyer Gordon G Chang in a sit-down with Patrick Bet-David.," News, Talk-Show"," Patrick Bet-David, Gordon Chang",None
 GradVision (2021),122 min,None,None,Add a Plot, Talk-Show, Andrei Sylvan Horia ," Andrei Sylvan Horia, Sebastian Medrea"
 Morty and Friends: The Life of Morty (2022),45 min,None,None,"Welcome to Morty and Friends Rated Teens for Cussing, Mischief, Things you should never do to your parents, and Scenes that may not be suitable for all audiences."," Reality-TV, Talk-Show", Izaiha Fm ," Izaiha Fm, Jordan Fm, Benjamin Thomas Green, Sylvian Ray"
 Global Trumpism (2016),None,None,None,Add a Plot,Talk-Show, Mark Blyth,None
 Obaland Magazine (2020),None,None,None,Add a Plot,Talk-Show, Omosigho Lucky , Lucky Omosigho
 Gregor Barnsdale's Hard Truths (2019),75 min,None,None,"A mockumentary showcasing the talk-show host, Gregor Barnsdale, who is attempting to make a career comeback following a disastrous interview with an unknown celebrity.", Talk-Show, Adam Sandy ," Joe Facer, Adam Sandy, Mark Wisdom"
 Jake Moss Tries to Explain His Paintings (2021),82 min,8.7,None,"Jake Moss tries to explain his paintings to his friends. After each attempt at explaining, his friends vote on whether or not the explanation was sufficient. If they decide the explanation wasn't good enough they all have to take a shot.", Talk-Show, Jake Moss ," Danny Foster, Matthew Jennings, Jake Moss, Jak Nicholls"
 Attorney Paul S. Levine addresses Copyright & Work-for-Hire Law (2021),96 min,None,None,"Leading Entertainment Attorney addresses copyright and work-for-hire law, specifically how writers, producers, performers, and others protect their work, and how intellectual property is ... See full summary »", Talk-Show, Nancy Fulton ," Nancy Fulton, Paul S. Levine"
 The Vilma Jackson Show (2021),45 min,None,None,"The wider debate around diversity, inclusion and equality to highlight that these issues do not only apply to the hearing world; they run deep into the Deaf community and every corner of ... See full summary »", Talk-Show, Vilma Jackson,None
" Benzema, combat 4 etoiles teaser (2018)",95 min,None,None,Add a Plot, Talk-Show,None,None
 Fairly Normal (2013),60 min,None,None,Add a Plot, Talk-Show,None,None
 I'm Adopted: Viewing Adoption as Young Adults with Alex Kuch (2020),60 min,None,None,Add a Plot, Talk-Show," Alex Gilbert, Alex Kuch, Daria Rottenberk",None
 Great Canadians (2016),None,None,None,Youth news broadcasters interview Black History advocates.,Talk-Show, Christopher Miranda Heredia ," Lovell Adams-Gray, Jean Assamoa, Jean Augustine, Simone Banton"
" Thriving in the New Hollywood Interview with Gary Goldstein, Producer of Pretty Woman (2021)",81 min,None,None,"Exceptional producer Gary W. Goldstein addresses the new entertainment industry landscape and the skills writers, producers, and others need to master in order to thrive. He reviews why ... See full summary »", Talk-Show, Nancy Fulton ," Nancy Fulton, Gary W. Goldstein"
 The Noel Bax Podcast (2015),None,None,None,Add a Plot,Talk-Show, Noel Bax ," Noel Bax, Tony Boldi"
 The Magicians - The Cost of Magic,None,None,None,Add a Plot, Announced,None,None
 Chef Meme (2020),47 min,None,None,Add a Plot, Talk-Show, Kem Jean ," Francis Ad, Christine Mae Goc-ong, Jocelyn Goc-ong, Maryjane Igut"
 Beach Problems Commercial (2022),None,None,None,Add a Plot,Talk-Show, Kyle Langdon-Weyrich,None
 The Ghost Hunting TV Talk Show: Paranormal TV Stars Special (2015),None,None,None,"The Ghost Hunting TV Talk Show Hosted By Lee Steer and Chris Beech, Two leading skeptics within the field of the paranormal, much respected and much loved by the community due to their ... See full summary »",Talk-Show, Lee Steer ," Lee Steer, Chris Beech, Brian Saunders, Katrina Weidman"
 The Xian Factor (2011),None,None,None,Add a Plot,Talk-Show, Joel Condor , James Hargreaves
 Shadowhunters - The Shadow World,None,None,None,Add a Plot, Announced,None,None
 Catholic LA (2018),None,None,None,"Getting a bunch of people together to talk about Bible Studies, Jesus, the Catholic Church and strategies for evangelization.",Talk-Show, Chris Plance ," Joseph Freymann, Chris Plance"
 The Art Behind the Walk (2016),None,None,None,Add a Plot,Talk-Show, Bernie Rao,None
 Albert Cossery: entre la violence et la dérision (1994),50 min,None,None,Add a Plot, Talk-Show," Jean Labib, Michel Mitrani "," Albert Cossery, Michel Mitrani"
 The Nick & Tub Podcast (2019),None,None,None,Add a Plot,Talk-Show,None,None
 The CAT show with Cindy and Tony (2020),120 min,None,None,Add a Plot, Talk-Show, Tony Boldi , Cindy Villarreal
 The Lincolns - In Sickness and in Health (2021),None,None,None,Add a Plot,Talk-Show, Christopher McLean ," Grant Johnson, Christopher McLean, Steve Michaels, Kent Peterson"
 The Refugee Conversation (2016),None,None,None,"As Canada started to prepare for the first wave of Syrian refugees, Director/Producer Kirby Hammond held an event to discuss how prepared Winnipeg was as a city for their arrival. This ... See full summary »",Talk-Show, Kirby Hammond , Kirby Hammond
